#,Fund Title,ISIN Code
1,Vanguard LifeStrategy 80% Equity Acc,GB00B4PQW151
2,Vanguard FTSE Global All Cap Index,GB00BD3RZ582
3,HSBC FTSE 250 Index Acc,GB00BV8VN686
4,Vanguard LifeStrategy 100% Equity Acc,GB00B41XG308
5,Fidelity Index World Class P Acc,GB00BJS8SJ34
6,Royal London Short Term Money Market Class Y Acc,GB00B8XYYQ86
7,Artemis Global Income Class I Acc,GB00B5ZX1M70
8,L&G Global Technology Index Trust Class C Acc,GB00BJLP1W53
9,Fundsmith Equity Class I Acc,GB00B41YBW71
10,Vanguard LifeStrategy 60% Equity Acc,GB00B3TYHH97
11,Fidelity Special Situations Class W Acc,GB00B88V3X40
12,Fidelity Global Technology Class W Acc,LU1033663649
13,Legal & General UK Index Class C Acc,GB00BG0QPJ30
14,Fidelity Index US Class P Acc,GB00BJS8SH10
15,UBS S&P 500 Index Class C Acc,GB00BMN91T34
16,Fidelity Cash Class W Acc,GB00BD1RHT82
17,Vanguard FTSE 100 Index Unit Trust Acc,GB00BD3RZ368
18,Artemis SmartGARP European Equity Class I Acc,GB00B2PLJD73
19,Jupiter Gold & Silver Fund Class L Acc,IE00BYVJRB33
20,WS Blue Whale Growth Class I Acc,GB00BD6PG563
21,AJ Bell Adventurous Class I Acc,GB00BYW8VG25
22,AJ Bell Moderately Adventurous Class I Acc,GB00BYW8VL77
23,AJ Bell Balanced Class I Acc,GB00BYW8RX12
24,AJ Bell Global Growth Class I Acc,GB00BD833W40
25,Vanguard Sterling Short-Term Money Market Class A Acc,GB00BFYDWM59
26,Artemis US Smaller Companies Class I Acc,GB00BMMV5766
27,Baillie Gifford Monthly Income Class B Acc,GB00BFXY2964
28,Invesco Tactical Bond Class Z Acc,GB00B8N45T82
29,Legal & General Future World ESG Tilted and Optimised Developed Index Fund,GB00BYWQWW93
30,Troy Trojan Global Income Class O Acc,GB00BD82KP33
31,M&G Global Emerging Markets Class I Acc,GB00B3FFXX47
32,M&G Asian Class I Acc,GB00B6SQYF47
33,Schroder Asian Alpha Plus Class L Acc,GB00BDD27J12
34,FSSA Asia Focus Class B Acc,GB00BWNGXJ86
35,Invesco Global Emerging Markets Class Z Acc,GB00B8N46731
36,Rathbone Ethical Bond Class S Acc,GB00BDD0RN99
37,Polar Capital Biotechnology Class I Inc,IE00B42P0H75
38,Liontrust Sustainable Future UK Growth,GB0030028764
39,Rathbone Global Opportunities Class  S Acc,GB00BH0P2M97
40,Baillie Gifford American Class B Acc,GB0006061963
41,Fidelity European Class W Acc,GB00BFRT3504
42,BNY Mellon Global Income Class U Acc,GB00BLG2W994
43,JP Morgan Funds ETFS Global Equity Income,	IE0003UVYC20
44,Stewart Investors Asia Pacific Leaders Class B Acc,GB0033874768
45,Schroder Global Recovery Class L Acc,GB00BYRJXP30
46,Man Income Fund Class C Acc,GB00B0117C28
47,Baillie Gifford Global Discovery Class B Acc,GB0006059330
48,First Sentier Global Listed Infrastructure Class B Acc,GB00B24HJL45
49,Polar Capital Global Technology Class I Inc GBP,IE00B42W4J83
50,L&G Cash Trust Class I Inc,GB00BJKGG240
